source,target,weight,conversation
905,1536,1,AI technology debate
1789,1547,1,Renewable energy
1294,1427,1,Blockchain technology
1083,1612,1,Blockchain technology
1123,1449,1,Sustainable farming
947,1637,1,Renewable energy
1243,1730,1,Climate change talk
1637,1768,1,Renewable energy
1669,1290,1,AI technology debate
1676,1144,1,Education policies
1613,1608,1,Climate change talk
1597,1532,1,Climate change talk
992,963,1,Global trade dynamics
934,1471,1,Sustainable farming
1877,1799,1,AI technology debate
1849,1238,1,Education policies
1509,1399,1,Space exploration
1040,1288,1,Sustainable farming
1042,1366,1,Renewable energy
1345,896,1,Blockchain technology
1621,1538,1,Sustainable farming
1706,1502,1,Space exploration
1886,1107,1,Climate change talk
1393,1730,1,Healthcare reforms
1189,1727,1,Blockchain technology
1668,1589,1,Education policies
1146,925,1,Healthcare reforms
1537,1535,1,Renewable energy
1296,1109,1,Healthcare reforms
1033,1307,1,Climate change talk
1491,1589,1,Renewable energy
1186,1837,1,Space exploration
939,1356,1,Healthcare reforms
1599,1901,1,Blockchain technology
1018,1277,1,Renewable energy
1841,1423,1,Global trade dynamics
1312,1590,1,Healthcare reforms
1092,1214,1,Blockchain technology
1003,1075,1,Sustainable farming
1880,1378,1,AI technology debate
1608,1714,1,Sustainable farming
1571,1447,1,Space exploration
1610,1813,1,Global trade dynamics
1446,1882,1,Renewable energy
1153,1449,1,Space exploration
1131,1304,1,Space exploration
1467,1823,1,Space exploration
1757,1868,1,Economic strategies
1584,1302,1,AI technology debate
1821,1683,1,Blockchain technology
897,1513,1,Blockchain technology
1597,1800,1,Education policies
1331,1083,1,Blockchain technology
1391,1868,1,Economic strategies
1603,1623,1,Global trade dynamics
1142,1844,1,Sustainable farming
1163,1456,1,Education policies
1824,1273,1,Climate change talk
1120,1462,1,Blockchain technology
1420,1864,1,Sustainable farming
1185,1488,1,Space exploration
1180,1175,1,Renewable energy
1284,1899,1,Blockchain technology
1184,1522,1,Sustainable farming
1379,1576,1,Climate change talk
1516,1003,1,Space exploration
1849,1076,1,Economic strategies
1359,1557,1,Healthcare reforms
1688,925,1,Space exploration
1160,1669,1,Economic strategies
1250,906,1,Climate change talk
1445,951,1,Global trade dynamics
1804,1734,1,AI technology debate
1423,1014,1,Education policies
1623,1597,1,Blockchain technology
1661,1382,1,Renewable energy
1282,1324,1,Renewable energy
1613,921,1,Renewable energy
1691,1347,1,Space exploration
1288,1040,1,Economic strategies
1606,1113,1,Education policies
1707,1416,1,Space exploration
1335,1153,1,Economic strategies
1159,1738,1,Renewable energy
1047,1902,1,Economic strategies
1721,1375,1,Blockchain technology
1707,1238,1,Education policies
1611,1120,1,Education policies
1513,1272,1,Economic strategies
1146,1135,1,Economic strategies
1520,1377,1,Space exploration
1576,1231,1,Sustainable farming
1715,1345,1,Renewable energy
1080,1616,1,Sustainable farming
1420,1048,1,Economic strategies
1126,1175,1,Renewable energy
1622,1849,1,Space exploration
1530,1391,1,AI technology debate
1911,1337,1,Renewable energy
1367,1879,1,Space exploration
1798,958,1,Economic strategies
1132,1083,1,Economic strategies
1158,902,1,Climate change talk
1376,947,1,Healthcare reforms
966,982,1,AI technology debate
1277,1231,1,Economic strategies
1589,1621,1,Sustainable farming
1214,1376,1,Healthcare reforms
1112,1746,1,AI technology debate
1209,1757,1,Space exploration
1404,1257,1,Space exploration
1427,1767,1,Sustainable farming
1192,1345,1,Economic strategies
1338,1109,1,Education policies
1668,1712,1,Sustainable farming
1500,1634,1,Education policies
1609,1029,1,Healthcare reforms
1205,1722,1,Space exploration
993,1877,1,Global trade dynamics
1333,1468,1,Education policies
1730,1390,1,Climate change talk
980,1888,1,Economic strategies
1746,1135,1,Global trade dynamics
1604,1238,1,Economic strategies
1485,946,1,Renewable energy
1410,1866,1,Climate change talk
1192,1655,1,Space exploration
1542,1832,1,Education policies
1895,1601,1,Renewable energy
1583,1764,1,Education policies
1024,1352,1,AI technology debate
1519,1688,1,Education policies
1746,1456,1,AI technology debate
1267,1181,1,Education policies
1628,1231,1,Climate change talk
1573,1292,1,Space exploration
1768,1589,1,Healthcare reforms
1060,1100,1,Blockchain technology
1339,1827,1,Renewable energy
1805,897,1,AI technology debate
1570,1359,1,Blockchain technology
1603,1509,1,AI technology debate
1819,1618,1,Climate change talk
1491,1849,1,AI technology debate
1271,1330,1,Global trade dynamics
1114,1744,1,Renewable energy
1156,1845,1,Climate change talk
1572,1209,1,Climate change talk
1622,1753,1,Blockchain technology
1888,1238,1,Education policies
1406,1261,1,AI technology debate
484,1536,1,Education policies
1153,1902,1,Economic strategies
1710,1528,1,Sustainable farming
938,1314,1,Climate change talk
1310,924,1,Climate change talk
1184,1367,1,Economic strategies
1563,1076,1,Renewable energy
1080,1543,1,Space exploration
991,1177,1,AI technology debate
1694,1831,1,Healthcare reforms
1078,1390,1,Economic strategies
1565,1671,1,Global trade dynamics
1412,1010,1,Renewable energy
932,1399,1,Blockchain technology
1750,1730,1,AI technology debate
1823,1289,1,Blockchain technology
1246,1041,1,Sustainable farming
1783,1246,1,AI technology debate
1554,1334,1,Global trade dynamics
1720,1345,1,Space exploration
1691,1628,1,Space exploration
1075,1367,1,Blockchain technology
1540,1652,1,Sustainable farming
1158,1129,1,Climate change talk
1102,1893,1,Renewable energy
1589,1272,1,AI technology debate
1207,1886,1,Sustainable farming
1645,1677,1,Renewable energy
1665,1199,1,Blockchain technology
1018,1231,1,Global trade dynamics
1712,1665,1,Sustainable farming
1393,1329,1,Sustainable farming
1459,1426,1,Renewable energy
1017,1589,1,Blockchain technology
1504,1159,1,Renewable energy
1846,946,1,Renewable energy
1319,1097,1,Education policies
1770,1109,1,Sustainable farming
1714,1613,1,AI technology debate
1800,1083,1,Economic strategies
1230,1484,1,Sustainable farming
1185,1269,1,AI technology debate
1743,1531,1,Climate change talk
1721,1431,1,Renewable energy
1028,1614,1,Renewable energy
1845,1769,1,Sustainable farming
901,1548,1,Climate change talk
1815,1709,1,Renewable energy
1017,1879,1,Space exploration
1766,1695,1,Blockchain technology
1655,957,1,Renewable energy
1204,1489,1,Blockchain technology
1375,1735,1,Space exploration
1439,1185,1,Renewable energy
1809,959,1,Blockchain technology
1175,1621,1,Global trade dynamics
1622,1714,1,Global trade dynamics
1714,1737,1,Space exploration
1198,1471,1,Healthcare reforms
1235,1190,1,Education policies
1622,1175,1,Sustainable farming
1669,1622,1,Economic strategies
1350,1036,1,Climate change talk
1370,1809,1,Blockchain technology
1574,915,1,Space exploration
1493,1733,1,Climate change talk
1290,1559,1,Renewable energy
1685,1250,1,Education policies
637,1192,1,Space exploration
